Book Name,LengthRelease Date,Language,Price
The Book,9 hrs and 58 mins,04-30-19,English,$17.49
The Product Book,9 hrs and 8 mins,01-30-19,English,$17.35
The Book of Satoshi,7 hrs and 27 mins,04-20-15,English,$17.35
The KCNA Book,5 hrs and 17 mins,03-30-22,English,$17.35
Machine Learning: 4 Books in 1,13 hrs and 50 mins,03-24-20,English,$21.70
The Kaggle Book,12 hrs and 29 mins,09-21-22,English,$21.70
Hacking: 4 Books in 1,12 hrs and 13 mins,02-04-21,English,$21.70
Python for Beginners: 2 Books in 1,8 hrs and 18 mins,02-18-20,English,$17.35
Coding Languages for Absolute Beginners: 6 Books in 1,7 hrs and 39 mins,12-26-18,English,$17.35
CISSP: 2 Books in 1,6 hrs,11-18-20,English,$17.35
Python Programming: 3 Books in 1,5 hrs and 50 mins,12-27-18,English,$17.35
JavaScript: 3 Books in 1,19 hrs and 29 mins,05-18-21,English,$21.70
The Ultimate Kali Linux Book,13 hrs and 47 mins,12-12-22,English,$21.70
Coding for Absolute Beginners and Cybersecurity: 5 Books in 1,12 hrs and 39 mins,07-29-21,English,$21.70
Papyrus,17 hrs and 28 mins,11-01-22,English,$21.62
"C++: The Complete 3 Books in 1 for Beginners, Intermediate and 21 Sample Codes and Advance Crash Course Guide in C++ Programming",4 hrs and 28 mins,11-23-18,English,$13.00
"Audio for Authors: Audiobooks, Podcasting, and Voice Technologies",6 hrs and 15 mins,04-20-20,English,$17.35
Computer Networking for Beginners,4 hrs and 8 mins,03-20-20,English,$13.00
Getting Started With ChatGPT,1 hr and 9 mins,02-14-23,English,$6.95
A Little Book About Requirements and User Stories,2 hrs and 52 mins,08-26-19,English,$6.04
Discovery (Explore Behaviour Using Examples),2 hrs and 55 mins,07-23-19,English,$6.04
Neural Networks for Beginners,3 hrs and 6 mins,03-13-20,English,$13.00
Data Analytics: 5 Books in 1,6 hrs and 59 mins,11-16-18,English,$17.35
El Libro Negro del Programador [The Programmer's Black Book],6 hrs and 7 mins,08-20-20,Spanish,$17.35
Antisocial Media,10 hrs and 20 mins,07-16-18,English,$27.99
Algorithms: 3 Books in 1,13 hrs and 54 mins,01-13-22,English,$21.70
Genius Makers,9 hrs and 59 mins,03-16-21,English,$18.49
Solutions Architect's Handbook,17 hrs and 48 mins,11-10-22,English,$21.70
A Hacker's Mind,8 hrs and 3 mins,02-07-23,English,$24.49
Rasberry PI,5 hrs and 55 mins,02-06-23,English,$19.95
Clean Code,5 hrs and 49 mins,02-27-21,English,$39.99
The Penguin Book of Outer Space Exploration,16 hrs and 12 mins,09-11-18,English,$22.03
Profit from Facebook Ads with $5 a Day,3 hrs and 27 mins,08-17-22,English,$13.00
Machine Learning for Absolute Beginners,3 hrs and 48 mins,01-13-22,English,$13.00
How to Be Fine,4 hrs and 54 mins,03-17-20,English,$16.99
User Story Mapping,8 hrs and 19 mins,01-26-21,English,$39.99
Faster,9 hrs and 52 mins,03-17-20,English,$24.49
The Small Business Handbook for Social Media Marketing,3 hrs and 47 mins,01-17-23,English,$13.00
The Poisoner's Handbook,9 hrs and 14 mins,02-18-10,English,$21.70
The Trail of Gold and Silver,11 hrs and 26 mins,01-19-22,English,$21.70
UX Research,5 hrs and 14 mins,02-13-21,English,$34.99
LikeWar,11 hrs and 21 mins,10-02-18,English,$27.99
Lean Mastery: 8 Books in 1,15 hrs and 30 mins,07-30-20,English,$21.70
We Have Root,10 hrs and 53 mins,11-08-19,English,$27.99
Social Media Marketing for Beginners,5 hrs and 32 mins,10-11-22,English,$17.35
"Computer Programming: This Book Includes: SQL, Linux, Java, Python, C#, Arduino, C# For Intermediates, Arduino For Intermediates Learn Any Computer Language In One Day Step by Step (#2022 Version)",20 hrs and 45 mins,07-28-20,English,$26.05
Java: 3 Books in 1,19 hrs and 9 mins,08-30-21,English,$21.70
Red Moon Rising,11 hrs and 34 mins,09-05-07,English,$24.95
The Printing Revolution in Early Modern Europe,11 hrs and 25 mins,05-18-21,English,$39.99
Targeted,13 hrs and 2 mins,10-22-19,English,$27.18
